Session,Run,UID,Sample,P,d636,d628,d627,d626b,H2O_to_CO2
2023-08,2023-08-02,AF510EB6,NBS-18,4.997063,26.262563,7.392765,3.898200,-0.158951,
2023-08,2023-08-02,AF8D9131,IAEA-603,4.996917,33.891761,28.328591,14.793852,2.155630,
2023-08,2023-08-03,DE918A4A,IAEA-603,4.997605,33.916891,28.343396,14.810529,0.622371,
2023-08,2023-08-03,04910EFB,NBS-18,4.997209,26.240229,6.930876,3.650463,0.959509,
2023-08,2023-08-03,33D53B14,VSMOW2,5.000333,27.533432,32.875884,17.143286,-0.429869,222
2023-08,2023-08-03,B9122577,IAEA-603,4.994078,33.927179,28.342795,14.806384,1.616889,
2023-08,2023-08-03,C2BCF97B,SLAP2,5.001605,27.677289,-24.328597,-12.880422,0.401826,222
2023-08,2023-08-04,F74A68B5,IAEA-603,4.996349,33.941980,28.323906,14.789105,1.204319,
2023-08,2023-08-04,180D71A6,VSMOW2,4.999254,27.554925,32.768836,17.089199,-0.440411,208
2023-08,2023-08-04,FAEBE69C,NBS-18,4.997195,26.237400,6.832603,3.615136,0.812337,
2023-08,2023-08-04,C6BCF38F,SLAP2,4.998108,27.694692,-24.684756,-13.065606,-0.053959,416
2023-08,2023-08-04,69326993,NBS-18,4.996883,26.234795,6.875028,3.624405,3.668965,
2023-08,2023-08-04,648F5C94,IAEA-603,4.998016,33.956023,28.326221,14.798696,2.513197,
2023-10,2023-10-24,27D098ED,NBS-18,4.998010,26.293556,7.118846,3.776616,2.984066,
2023-10,2023-10-24,04B0F65F,IAEA-603,4.998370,33.932552,28.273217,14.770691,1.494988,
2023-10,2023-10-24,4CC8F6B6,VSMOW2,4.998647,27.607334,32.850394,17.123121,-0.543197,292
2023-10,2023-10-24,C597EBCD,SLAP2,4.996191,27.769294,-24.497055,-12.979843,-0.436060,387
2023-10,2023-10-25,467AB154,IAEA-603,4.995476,33.946199,28.341777,14.803167,0.534052,
2023-10,2023-10-25,7A9F1DCB,NBS-18,4.996375,26.303812,7.127180,3.765884,3.669745,
2023-10,2023-10-25,F7C6C21A,VSMOW2,4.997088,27.591419,32.922424,17.170689,-0.613317,450
2023-10,2023-10-25,4C108957,SLAP2,5.001245,27.735806,-24.458425,-12.963082,-0.283406,347
2023-10,2023-10-25,9606D73A,VSMOW2,5.000152,27.589716,32.862559,17.141047,-0.351208,340
2023-10,2023-10-25,86B55832,SLAP2,5.001309,27.747576,-24.372522,-12.909027,-0.265060,340
2023-10,2023-10-26,4058E8E4,SLAP2,4.999394,27.786913,-24.427929,-12.942711,-0.336273,347
2023-10,2023-10-26,4E1134B0,VSMOW2,4.999587,27.611303,32.883211,17.157806,-0.398117,347
2023-10,2023-10-26,B27A59A4,IAEA-603,4.998322,33.936696,28.333987,14.797012,0.427013,
2023-10,2023-10-26,95D06573,NBS-18,4.996852,26.265877,6.936580,3.656481,1.887482,
2023-10,2023-10-26,DC7B99CB,NBS-18,4.995814,26.317089,7.078170,3.748941,1.138970,
2023-10,2023-10-26,D48136D1,NBS-18,4.997685,26.311155,6.983954,3.706199,1.195992,
2023-10,2023-10-26,ECE1F98B,IAEA-603,4.997779,33.904350,28.333571,14.793452,0.563547,
2023-10,2023-10-26,6AD90C89,IAEA-603,4.996891,33.930296,28.522674,14.897218,0.463887,
2023-10,2023-10-27,1083C7A5,VSMOW2,4.996990,27.567776,32.869028,17.137679,-0.500509,438
2023-10,2023-10-27,4DFEBF34,SLAP2,4.996399,27.722458,-24.500693,-12.976446,-0.211832,450
2023-10,2023-10-27,B22883C5,IAEA-603,4.996827,33.939672,28.334631,14.794129,0.316654,
2023-10,2023-10-27,E9349082,NBS-18,4.995701,26.249708,6.970562,3.686504,-0.409190,
2023-12,2023-12-05,7B287E6A,IAEA-603,4.999993,33.910736,28.301610,14.781843,0.933254,
2023-12,2023-12-05,34BD7088,NBS-18,4.997940,26.241354,7.061594,3.716976,3.281240,
2023-12,2023-12-05,DC225C00,VSMOW2,4.998485,27.553401,32.853479,17.132213,-0.274520,416
2023-12,2023-12-05,1C050F4E,SLAP2,4.996811,27.684602,-24.701613,-13.065838,-0.137852,416
2023-12,2023-12-05,9C4338EC,VSMOW2,4.994934,27.540201,32.874391,17.155603,-0.398408,416
2023-12,2023-12-05,E1D6CACD,SLAP2,4.997280,27.758642,-24.671524,-13.062083,-0.030132,416
2023-12,2023-12-05,FA87ADF7,SLAP2,4.995147,27.699629,-24.734317,-13.092924,0.265024,416
2023-12,2023-12-05,62E275AA,VSMOW2,4.997142,27.567839,32.791139,17.106383,-0.292880,416
