Run,Sample,t,P,d636,d628,d627
2022-09-12,WG,1341.269322,5.021386,-0.000936,-0.000433,0.015603
2022-09-12,LINDE,1353.653915,5.010669,27.516888,16.117718,8.500402
2022-09-12,WG,1365.553245,5.019663,-0.004987,-0.010254,0.004067
2022-09-12,LINDE,1378.300188,5.016467,27.512733,16.114865,8.494937
2022-09-12,WG,1390.331519,5.012225,0.003352,-0.001422,0.010194
2022-09-12,LINDE,1402.174765,5.010432,27.519031,16.119262,8.498216
2022-09-12,WG,1414.908720,5.018603,0.003499,0.005469,0.020654
2022-09-12,LINDE,1427.259413,5.016107,27.511769,16.116917,8.502305
2022-09-12,WG,1438.813665,5.015418,-0.000411,-0.001274,0.013292
2022-09-12,LINDE,1451.315574,5.010398,27.526679,16.129421,8.515159
2022-09-12,WG,1463.428945,5.017173,0.013959,0.013665,0.024769
2022-09-12,LINDE,1475.902488,5.016176,27.527908,16.130645,8.508602
2022-09-12,WG,1487.784795,5.020433,0.008216,-0.000239,0.015321
2022-09-12,LINDE,1500.224838,5.012693,27.523574,16.122405,8.507109
2022-09-12,WG,1512.129739,5.020807,0.012266,0.008691,0.025405
2022-09-12,LINDE,1524.296443,5.018549,27.534343,16.136974,8.515371
2022-09-12,WG,1536.350461,5.018634,0.014180,0.011718,0.024638
2022-09-12,LINDE,1548.834051,5.018925,27.530497,16.129524,8.505864
2022-09-12,WG,1560.889744,5.018120,0.017000,0.011204,0.023457
2022-09-12,LINDE,1573.303082,5.014409,27.526354,16.130529,8.508288
2022-09-12,WG,1585.555886,5.016421,0.010266,0.006435,0.019116
2022-09-12,LINDE,1597.461338,5.012984,27.528754,16.131425,8.503028
2022-09-12,WG,1609.187781,5.020483,0.010319,0.013324,0.012887
2022-09-12,LINDE,1621.363947,5.016615,27.528808,16.129999,8.496836
2022-09-12,WG,1633.790256,5.015029,0.017297,0.021557,0.026158
