UID,Sample,Session,P,d636,d628,d627,d18O_VSMOW,D17O_VSMOW,d18O_residual,D17O_residual
2A7B6DCB,NBS18,2023-08,4.9971,26.2530,7.4404,3.9346,15.9404,-0.0963,0.3685,0.0050
18BCBE5A,VSMOW2_x208,2023-08,5.0021,27.5206,32.6987,17.0616,41.2336,-0.1268,-0.0617,0.0092
D45EADB5,SLAP2_x222,2023-08,4.9958,27.6860,-24.4333,-12.9346,-15.9775,-0.1390,-0.0193,0.0042
F11DFC92,IAEA603,2023-08,4.9972,33.8893,28.3033,14.7693,36.8321,-0.1402,0.0008,-0.0129
EDC26365,NBS18,2023-08,4.9970,26.2412,6.9182,3.6417,15.4174,-0.1155,-0.1544,-0.0142
8CBB9EF1,NBS18,2023-08,4.9961,26.2766,6.9396,3.6586,15.4389,-0.1098,-0.1330,-0.0085
464388E9,IAEA603,2023-08,4.9985,33.9157,28.3478,14.8120,36.8767,-0.1209,0.0454,0.0064
76028B98,SLAP2_x222,2023-08,5.0008,27.6945,-24.3830,-12.9138,-15.9271,-0.1450,0.0311,-0.0018
642669C3,VSMOW2_x222,2023-08,4.9974,27.5260,32.8352,17.1264,41.3703,-0.1326,0.0646,0.0036
AF510EB6,NBS18,2023-08,4.9971,26.2626,7.3928,3.8982,15.8926,-0.1077,0.3208,-0.0064
AF8D9131,IAEA603,2023-08,4.9969,33.8918,28.3286,14.7939,36.8575,-0.1289,0.0262,-0.0016
DE918A4A,IAEA603,2023-08,4.9976,33.9169,28.3434,14.8105,36.8723,-0.1201,0.0410,0.0072
04910EFB,NBS18,2023-08,4.9972,26.2402,6.9309,3.6505,15.4301,-0.1134,-0.1417,-0.0121
33D53B14,VSMOW2_x222,2023-08,5.0003,27.5334,32.8759,17.1433,41.4111,-0.1367,0.1054,-0.0005
B9122577,IAEA603,2023-08,4.9941,33.9272,28.3428,14.8064,36.8717,-0.1238,0.0404,0.0035
C2BCF97B,SLAP2_x222,2023-08,5.0016,27.6773,-24.3286,-12.8804,-15.8727,-0.1405,0.0856,0.0026
F74A68B5,IAEA603,2023-08,4.9963,33.9420,28.3239,14.7891,36.8528,-0.1312,0.0215,-0.0039
180D71A6,VSMOW2_x208,2023-08,4.9993,27.5549,32.7688,17.0892,41.3039,-0.1354,0.0085,0.0007
FAEBE69C,NBS18,2023-08,4.9972,26.2374,6.8326,3.6151,15.3317,-0.0973,-0.2402,0.0040
C6BCF38F,SLAP2_x416,2023-08,4.9981,27.6947,-24.6848,-13.0656,-16.2293,-0.1362,-0.0941,0.0045
69326993,NBS18,2023-08,4.9969,26.2348,6.8750,3.6244,15.3742,-0.1102,-0.1977,-0.0089
648F5C94,IAEA603,2023-08,4.9980,33.9560,28.3262,14.7987,36.8551,-0.1229,0.0238,0.0044
27D098ED,NBS18,2023-10,4.9980,26.2936,7.1188,3.7766,15.5730,-0.0854,0.0012,0.0159
04B0F65F,IAEA603,2023-10,4.9984,33.9326,28.2732,14.7707,36.7750,-0.1257,-0.0562,0.0016
4CC8F6B6,VSMOW2_x292,2023-10,4.9986,27.6073,32.8504,17.1231,41.3625,-0.1464,0.0198,-0.0098
C597EBCD,SLAP2_x387,2023-10,4.9962,27.7693,-24.4971,-12.9798,-16.1141,-0.1454,0.0059,-0.0045
467AB154,IAEA603,2023-10,4.9955,33.9462,28.3418,14.8032,36.8437,-0.1288,0.0125,-0.0015
7A9F1DCB,NBS18,2023-10,4.9964,26.3038,7.1272,3.7659,15.5814,-0.1004,0.0095,0.0009
F7C6C21A,VSMOW2_x450,2023-10,4.9971,27.5914,32.9224,17.1707,41.4347,-0.1363,0.0505,0.0007
4C108957,SLAP2_x347,2023-10,5.0012,27.7358,-24.4584,-12.9631,-16.0754,-0.1492,0.0195,-0.0080
9606D73A,VSMOW2_x340,2023-10,5.0002,27.5897,32.8626,17.1410,41.3747,-0.1350,0.0153,0.0017
86B55832,SLAP2_x340,2023-10,5.0013,27.7476,-24.3725,-12.9090,-15.9893,-0.1408,0.1006,0.0006
4058E8E4,SLAP2_x347,2023-10,4.9994,27.7869,-24.4279,-12.9427,-16.0448,-0.1450,0.0501,-0.0038
4E1134B0,VSMOW2_x347,2023-10,4.9996,27.6113,32.8832,17.1578,41.3954,-0.1290,0.0340,0.0077
B27A59A4,IAEA603,2023-10,4.9983,33.9367,28.3340,14.7970,36.8359,-0.1308,0.0047,-0.0035
